Unnamed: 0,age,education,marital-status,race,income,occupation
7,<60,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
8,<60,Masters,Never-married,White,>50K,Prof-specialty
9,<60,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
10,<60,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
11,<60,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Prof-specialty
14,<60,Assoc-voc,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
19,<60,Masters,Divorced,White,>50K,Exec-managerial
20,<60,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
25,<60,Bachelors,Married-civ-spouse,White,>50K,Tech-support
27,<60,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,?
38,<60,Some-college,Married-civ-spouse,White,>50K,Sales
45,<60,Bachelors,Married-civ-spouse,Black,>50K,Prof-specialty
52,<60,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
53,<60,Bachelors,Divorced,White,>50K,Exec-managerial
55,<60,Some-college,Married-civ-spouse,White,>50K,Tech-support
63,<60,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
67,<60,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
68,<60,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
72,<60,Bachelors,Married-civ-spouse,White,>50K,Sales
84,<60,HS-grad,Divorced,White,>50K,Craft-repair
86,<60,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
89,<60,Doctorate,Never-married,White,>50K,Prof-specialty
94,<60,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
96,<60,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
97,<60,Some-college,Married-civ-spouse,White,>50K,Sales
100,>=60,Masters,Married-civ-spouse,White,>50K,Exec-managerial
101,<60,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
105,<60,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
111,<60,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
112,<60,HS-grad,Married-civ-spouse,White,>50K,Other-service
117,<60,Assoc-voc,Married-civ-spouse,Black,>50K,Craft-repair
123,<60,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
125,<60,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
127,<60,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
135,<60,Masters,Married-civ-spouse,White,>50K,Prof-specialty
