Unnamed: 0,age,education,marital-status,race,income,occupation
7,52,Higher Education,Married-civ-spouse,White,>50K,Exec-managerial
8,31,Higher Education,Never-married,White,>50K,Prof-specialty
9,42,College,Married-civ-spouse,White,>50K,Exec-managerial
10,37,College,Married-civ-spouse,Black,>50K,Exec-managerial
11,30,College,Married-civ-spouse,Asian-Pac-Islander,>50K,Prof-specialty
14,40,Assoc,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
19,43,Higher Education,Divorced,White,>50K,Exec-managerial
20,40,Higher Education,Married-civ-spouse,White,>50K,Prof-specialty
25,56,College,Married-civ-spouse,White,>50K,Tech-support
27,54,College,Married-civ-spouse,Asian-Pac-Islander,>50K,?
38,31,College,Married-civ-spouse,White,>50K,Sales
45,57,College,Married-civ-spouse,Black,>50K,Prof-specialty
52,47,College,Married-civ-spouse,White,>50K,Prof-specialty
53,50,College,Divorced,White,>50K,Exec-managerial
55,43,College,Married-civ-spouse,White,>50K,Tech-support
63,42,Higher Education,Married-civ-spouse,White,>50K,Prof-specialty
67,53,Higher Education,Married-civ-spouse,White,>50K,Adm-clerical
68,49,College,Married-civ-spouse,White,>50K,Exec-managerial
72,29,College,Married-civ-spouse,White,>50K,Sales
84,44,Higher Education,Divorced,White,>50K,Craft-repair
86,49,Higher Education,Married-civ-spouse,White,>50K,Protective-serv
89,43,Higher Education,Never-married,White,>50K,Prof-specialty
94,34,College,Married-civ-spouse,White,>50K,Protective-serv
96,48,Higher Education,Married-civ-spouse,White,>50K,Prof-specialty
97,37,College,Married-civ-spouse,White,>50K,Sales
100,76,Higher Education,Married-civ-spouse,White,>50K,Exec-managerial
101,44,College,Married-civ-spouse,White,>50K,Exec-managerial
105,32,Higher Education,Married-civ-spouse,White,>50K,Craft-repair
111,38,College,Married-civ-spouse,White,>50K,Prof-specialty
112,56,Higher Education,Married-civ-spouse,White,>50K,Other-service
117,49,Assoc,Married-civ-spouse,Black,>50K,Craft-repair
123,29,College,Married-civ-spouse,White,>50K,Prof-specialty
125,47,College,Married-civ-spouse,White,>50K,Exec-managerial
127,31,Assoc,Married-civ-spouse,White,>50K,Adm-clerical
135,38,Higher Education,Married-civ-spouse,White,>50K,Prof-specialty
139,49,College,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
143,45,Assoc,Never-married,White,>50K,Prof-specialty
154,52,Higher Education,Divorced,White,>50K,?
