age,education,marital-status,race,income,occupation
0-19,12th,Married-spouse,Person,>50K,?
0-19,7th-8th,Never-Married,Person,>50K,Other-service
0-19,Some-college,Never-Married,Person,>50K,Prof-specialty
20-39,10th,Married-spouse,Person,>50K,Craft-repair
20-39,10th,Married-spouse,Person,>50K,Farming-fishing
20-39,10th,Married-spouse,Person,>50K,Transport-moving
20-39,10th,Married-spouse,Person,>50K,Tech-support
20-39,10th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,10th,Never-Married,Person,>50K,Transport-moving
20-39,10th,Never-Married,Person,>50K,Prof-specialty
20-39,10th,Never-Married,Person,>50K,Exec-managerial
20-39,11th,Married-spouse,Person,>50K,Transport-moving
20-39,11th,Married-spouse,Person,>50K,Craft-repair
20-39,11th,Married-spouse,Person,>50K,Transport-moving
20-39,11th,Married-spouse,Person,>50K,Craft-repair
20-39,11th,Married-spouse,Person,>50K,Craft-repair
20-39,11th,Never-Married,Person,>50K,Craft-repair
20-39,11th,Never-Married,Person,>50K,Craft-repair
20-39,11th,Never-Married,Person,>50K,Craft-repair
20-39,11th,Never-Married,Person,>50K,Protective-serv
20-39,11th,Never-Married,Person,>50K,Prof-specialty
20-39,11th,Seperated,Person,>50K,Sales
20-39,11th,Seperated,Person,>50K,Exec-managerial
20-39,12th,Married-spouse,Person,>50K,Transport-moving
20-39,12th,Married-spouse,Person,>50K,Adm-clerical
20-39,12th,Married-spouse,Person,>50K,Craft-repair
20-39,12th,Married-spouse,Person,>50K,Transport-moving
20-39,12th,Married-spouse,Person,>50K,Craft-repair
20-39,12th,Never-Married,Person,>50K,Exec-managerial
20-39,12th,Never-Married,Person,>50K,Other-service
20-39,12th,Seperated,Person,>50K,Craft-repair
20-39,5th-6th,Married-spouse,Person,>50K,Craft-repair
20-39,5th-6th,Married-spouse,Person,>50K,Craft-repair
20-39,5th-6th,Married-spouse,Person,>50K,Transport-moving
20-39,5th-6th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,5th-6th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,5th-6th,Never-Married,Person,>50K,Handlers-cleaners
20-39,7th-8th,Married-spouse,Person,>50K,Craft-repair
20-39,7th-8th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,7th-8th,Married-spouse,Person,>50K,Transport-moving
20-39,7th-8th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,7th-8th,Married-spouse,Person,>50K,Sales
20-39,7th-8th,Never-Married,Person,>50K,Farming-fishing
20-39,9th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,9th,Married-spouse,Person,>50K,Craft-repair
20-39,9th,Married-spouse,Person,>50K,Machine-op-inspct
20-39,9th,Married-spouse,Person,>50K,Transport-moving
