Unnamed: 0,age,education,marital-status,race,income,occupation
7,40-59,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
8,20-39,Masters,Never-married,White,>50K,Prof-specialty
9,40-59,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
10,20-39,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
11,20-39,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Prof-specialty
14,40-59,Assoc-voc,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
19,40-59,Masters,Divorced,White,>50K,Exec-managerial
20,40-59,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
25,40-59,Bachelors,Married-civ-spouse,White,>50K,Tech-support
27,40-59,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,?
38,20-39,Some-college,Married-civ-spouse,White,>50K,Sales
45,40-59,Bachelors,Married-civ-spouse,Black,>50K,Prof-specialty
52,40-59,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
53,40-59,Bachelors,Divorced,White,>50K,Exec-managerial
55,40-59,Some-college,Married-civ-spouse,White,>50K,Tech-support
63,40-59,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
67,40-59,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
68,40-59,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
72,20-39,Bachelors,Married-civ-spouse,White,>50K,Sales
84,40-59,HS-grad,Divorced,White,>50K,Craft-repair
86,40-59,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
89,40-59,Doctorate,Never-married,White,>50K,Prof-specialty
94,20-39,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
96,40-59,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
97,20-39,Some-college,Married-civ-spouse,White,>50K,Sales
100,60-79,Masters,Married-civ-spouse,White,>50K,Exec-managerial
101,40-59,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
105,20-39,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
111,20-39,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
112,40-59,HS-grad,Married-civ-spouse,White,>50K,Other-service
117,40-59,Assoc-voc,Married-civ-spouse,Black,>50K,Craft-repair
123,20-39,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
125,40-59,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
127,20-39,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
135,20-39,Masters,Married-civ-spouse,White,>50K,Prof-specialty
139,40-59,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
143,40-59,Assoc-voc,Never-married,White,>50K,Prof-specialty
154,40-59,HS-grad,Divorced,White,>50K,?
164,40-59,Masters,Married-civ-spouse,White,>50K,Sales
172,40-59,Some-college,Married-civ-spouse,White,>50K,Sales
174,20-39,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
180,40-59,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
183,40-59,7th-8th,Married-civ-spouse,White,>50K,Machine-op-inspct
184,20-39,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
189,40-59,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
197,40-59,Masters,Never-married,White,>50K,Exec-managerial
198,20-39,Masters,Married-civ-spouse,White,>50K,Prof-specialty
202,40-59,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
206,20-39,Bachelors,Married-civ-spouse,Black,>50K,Other-service
208,40-59,HS-grad,Married-civ-spouse,White,>50K,Sales
211,20-39,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
214,40-59,7th-8th,Married-civ-spouse,White,>50K,Machine-op-inspct
215,20-39,Bachelors,Never-married,Black,>50K,Exec-managerial
234,20-39,Prof-school,Never-married,White,>50K,Prof-specialty
237,40-59,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
238,20-39,Masters,Married-civ-spouse,White,>50K,Exec-managerial
240,40-59,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
246,40-59,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
248,40-59,Assoc-acdm,Married-civ-spouse,White,>50K,Tech-support
250,40-59,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
255,40-59,HS-grad,Married-civ-spouse,Asian-Pac-Islander,>50K,Farming-fishing
265,20-39,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
267,60-79,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
269,20-39,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
270,60-79,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
276,40-59,Some-college,Married-civ-spouse,White,>50K,Craft-repair
279,20-39,Some-college,Married-civ-spouse,White,>50K,Machine-op-inspct
281,40-59,Some-college,Married-civ-spouse,White,>50K,Craft-repair
285,40-59,Masters,Married-civ-spouse,White,>50K,Sales
286,40-59,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
300,40-59,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
302,20-39,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
303,40-59,HS-grad,Married-civ-spouse,White,>50K,Sales
308,20-39,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
309,40-59,Some-college,Married-civ-spouse,White,>50K,Farming-fishing
311,20-39,Masters,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
313,20-39,Bachelors,Divorced,Black,>50K,Prof-specialty
327,40-59,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
341,20-39,Assoc-voc,Married-civ-spouse,White,>50K,Craft-repair
342,20-39,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
350,20-39,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
352,20-39,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
354,40-59,Bachelors,Married-civ-spouse,White,>50K,?
355,20-39,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
357,40-59,Assoc-voc,Married-civ-spouse,White,>50K,Tech-support
361,60-79,Masters,Married-civ-spouse,White,>50K,Prof-specialty
363,40-59,Bachelors,Divorced,White,>50K,Exec-managerial
368,40-59,Bachelors,Divorced,White,>50K,Exec-managerial
372,40-59,Assoc-voc,Married-civ-spouse,White,>50K,Machine-op-inspct
387,40-59,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
390,20-39,HS-grad,Married-civ-spouse,White,>50K,Other-service
393,20-39,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
398,20-39,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
