,age,education,marital-status,race,income,occupation
7,52,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
8,31,Masters,Never-married,White,>50K,Prof-specialty
9,42,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
10,37,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
11,30,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Prof-specialty
14,40,Assoc-voc,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
19,43,Masters,Divorced,White,>50K,Exec-managerial
20,40,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
25,56,Bachelors,Married-civ-spouse,White,>50K,Tech-support
27,54,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,?
38,31,Some-college,Married-civ-spouse,White,>50K,Sales
45,57,Bachelors,Married-civ-spouse,Black,>50K,Prof-specialty
52,47,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
53,50,Bachelors,Divorced,White,>50K,Exec-managerial
55,43,Some-college,Married-civ-spouse,White,>50K,Tech-support
63,42,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
67,53,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
68,49,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
72,29,Bachelors,Married-civ-spouse,White,>50K,Sales
84,44,HS-grad,Divorced,White,>50K,Craft-repair
86,49,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
89,43,Doctorate,Never-married,White,>50K,Prof-specialty
94,34,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
96,48,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
97,37,Some-college,Married-civ-spouse,White,>50K,Sales
100,76,Masters,Married-civ-spouse,White,>50K,Exec-managerial
101,44,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
105,32,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
111,38,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
112,56,HS-grad,Married-civ-spouse,White,>50K,Other-service
117,49,Assoc-voc,Married-civ-spouse,Black,>50K,Craft-repair
123,29,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
125,47,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
127,31,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
135,38,Masters,Married-civ-spouse,White,>50K,Prof-specialty
139,49,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
143,45,Assoc-voc,Never-married,White,>50K,Prof-specialty
154,52,HS-grad,Divorced,White,>50K,?
164,45,Masters,Married-civ-spouse,White,>50K,Sales
172,51,Some-college,Married-civ-spouse,White,>50K,Sales
174,28,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
180,44,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
183,40,7th-8th,Married-civ-spouse,White,>50K,Machine-op-inspct
184,37,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
189,58,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
197,40,Masters,Never-married,White,>50K,Exec-managerial
198,35,Masters,Married-civ-spouse,White,>50K,Prof-specialty
202,51,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
206,36,Bachelors,Married-civ-spouse,Black,>50K,Other-service
208,58,HS-grad,Married-civ-spouse,White,>50K,Sales
211,37,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
214,54,7th-8th,Married-civ-spouse,White,>50K,Machine-op-inspct
215,37,Bachelors,Never-married,Black,>50K,Exec-managerial
234,28,Prof-school,Never-married,White,>50K,Prof-specialty
237,41,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
238,38,Masters,Married-civ-spouse,White,>50K,Exec-managerial
240,40,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
246,58,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
248,40,Assoc-acdm,Married-civ-spouse,White,>50K,Tech-support
250,41,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
255,42,HS-grad,Married-civ-spouse,Asian-Pac-Islander,>50K,Farming-fishing
265,37,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
267,64,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
269,33,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
270,61,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
276,44,Some-college,Married-civ-spouse,White,>50K,Craft-repair
279,24,Some-college,Married-civ-spouse,White,>50K,Machine-op-inspct
281,42,Some-college,Married-civ-spouse,White,>50K,Craft-repair
285,57,Masters,Married-civ-spouse,White,>50K,Sales
286,41,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
300,48,Bachelors,Married-civ-spouse,White,>50K,Adm-clerical
302,31,HS-grad,Married-civ-spouse,White,>50K,Transport-moving
303,55,HS-grad,Married-civ-spouse,White,>50K,Sales
308,35,Assoc-acdm,Married-civ-spouse,White,>50K,Adm-clerical
309,41,Some-college,Married-civ-spouse,White,>50K,Farming-fishing
311,34,Masters,Married-civ-spouse,Asian-Pac-Islander,>50K,Exec-managerial
313,36,Bachelors,Divorced,Black,>50K,Prof-specialty
327,43,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
341,38,Assoc-voc,Married-civ-spouse,White,>50K,Craft-repair
342,36,HS-grad,Married-civ-spouse,White,>50K,Protective-serv
350,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
352,33,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
354,59,Bachelors,Married-civ-spouse,White,>50K,?
355,38,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
357,40,Assoc-voc,Married-civ-spouse,White,>50K,Tech-support
361,62,Masters,Married-civ-spouse,White,>50K,Prof-specialty
363,43,Bachelors,Divorced,White,>50K,Exec-managerial
368,57,Bachelors,Divorced,White,>50K,Exec-managerial
372,40,Assoc-voc,Married-civ-spouse,White,>50K,Machine-op-inspct
387,44,Some-college,Married-civ-spouse,White,>50K,Adm-clerical
390,35,HS-grad,Married-civ-spouse,White,>50K,Other-service
393,34,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
398,25,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
399,52,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
402,50,Bachelors,Married-civ-spouse,White,>50K,Protective-serv
405,41,Masters,Married-civ-spouse,White,>50K,Exec-managerial
408,28,Some-college,Married-civ-spouse,White,>50K,?
413,46,Doctorate,Married-civ-spouse,White,>50K,Exec-managerial
415,35,12th,Divorced,White,>50K,Craft-repair
422,32,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
428,63,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
433,30,Assoc-acdm,Married-civ-spouse,White,>50K,Other-service
435,33,Masters,Married-civ-spouse,White,>50K,Prof-specialty
443,44,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
451,45,Some-college,Married-civ-spouse,White,>50K,Craft-repair
452,60,HS-grad,Married-civ-spouse,White,>50K,Craft-repair
453,42,Assoc-acdm,Married-civ-spouse,Black,>50K,Exec-managerial
454,44,HS-grad,Married-civ-spouse,White,>50K,Sales
455,40,Assoc-voc,Married-civ-spouse,Asian-Pac-Islander,>50K,Machine-op-inspct
468,49,Masters,Married-civ-spouse,White,>50K,Exec-managerial
469,30,Bachelors,Married-civ-spouse,White,>50K,Tech-support
470,60,Some-college,Never-married,White,>50K,Prof-specialty
489,38,Bachelors,Married-civ-spouse,White,>50K,Sales
513,34,Some-college,Married-civ-spouse,White,>50K,Prof-specialty
519,34,Bachelors,Married-civ-spouse,White,>50K,Prof-specialty
