,age,education,marital-status,race,income,occupation
0,39,Bachelors,Never-married,White,<=50K,Adm-clerical
1,50,Bachelors,Married-civ-spouse,White,<=50K,Exec-managerial
2,38,HS-grad,Divorced,White,<=50K,Handlers-cleaners
3,53,11th,Married-civ-spouse,Black,<=50K,Handlers-cleaners
4,28,Bachelors,Married-civ-spouse,Black,<=50K,Prof-specialty
5,37,Masters,Married-civ-spouse,White,<=50K,Exec-managerial
6,49,9th,Married-spouse-absent,Black,<=50K,Other-service
7,52,HS-grad,Married-civ-spouse,White,>50K,Exec-managerial
8,31,Masters,Never-married,White,>50K,Prof-specialty
9,42,Bachelors,Married-civ-spouse,White,>50K,Exec-managerial
10,37,Some-college,Married-civ-spouse,Black,>50K,Exec-managerial
11,30,Bachelors,Married-civ-spouse,Asian-Pac-Islander,>50K,Prof-specialty
12,23,Bachelors,Never-married,White,<=50K,Adm-clerical
13,32,Assoc-acdm,Never-married,Black,<=50K,Sales
14,40,Assoc-voc,Married-civ-spouse,Asian-Pac-Islander,>50K,Craft-repair
15,34,7th-8th,Married-civ-spouse,Amer-Indian-Eskimo,<=50K,Transport-moving
16,25,HS-grad,Never-married,White,<=50K,Farming-fishing
17,32,HS-grad,Never-married,White,<=50K,Machine-op-inspct
18,38,11th,Married-civ-spouse,White,<=50K,Sales
19,43,Masters,Divorced,White,>50K,Exec-managerial
20,40,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
21,54,HS-grad,Separated,Black,<=50K,Other-service
22,35,9th,Married-civ-spouse,Black,<=50K,Farming-fishing
23,43,11th,Married-civ-spouse,White,<=50K,Transport-moving
24,59,HS-grad,Divorced,White,<=50K,Tech-support
25,56,Bachelors,Married-civ-spouse,White,>50K,Tech-support
26,19,HS-grad,Never-married,White,<=50K,Craft-repair
27,54,Some-college,Married-civ-spouse,Asian-Pac-Islander,>50K,?
28,39,HS-grad,Divorced,White,<=50K,Exec-managerial
29,49,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
30,23,Assoc-acdm,Never-married,White,<=50K,Protective-serv
31,20,Some-college,Never-married,Black,<=50K,Sales
32,45,Bachelors,Divorced,White,<=50K,Exec-managerial
33,30,Some-college,Married-civ-spouse,White,<=50K,Adm-clerical
34,22,Some-college,Married-civ-spouse,Black,<=50K,Other-service
35,48,11th,Never-married,White,<=50K,Machine-op-inspct
36,21,Some-college,Never-married,White,<=50K,Machine-op-inspct
37,19,HS-grad,Married-AF-spouse,White,<=50K,Adm-clerical
38,31,Some-college,Married-civ-spouse,White,>50K,Sales
39,48,Assoc-acdm,Married-civ-spouse,White,<=50K,Prof-specialty
40,31,9th,Married-civ-spouse,White,<=50K,Machine-op-inspct
41,53,Bachelors,Married-civ-spouse,White,<=50K,Prof-specialty
42,24,Bachelors,Married-civ-spouse,White,<=50K,Tech-support
43,49,HS-grad,Separated,White,<=50K,Adm-clerical
44,25,HS-grad,Never-married,White,<=50K,Handlers-cleaners
45,57,Bachelors,Married-civ-spouse,Black,>50K,Prof-specialty
46,53,HS-grad,Married-civ-spouse,White,<=50K,Machine-op-inspct
47,44,Masters,Divorced,White,<=50K,Exec-managerial
48,41,Assoc-voc,Married-civ-spouse,White,<=50K,Craft-repair
49,29,Assoc-voc,Never-married,White,<=50K,Prof-specialty
50,25,Some-college,Married-civ-spouse,Other,<=50K,Exec-managerial
51,18,HS-grad,Never-married,White,<=50K,Other-service
52,47,Prof-school,Married-civ-spouse,White,>50K,Prof-specialty
53,50,Bachelors,Divorced,White,>50K,Exec-managerial
54,47,HS-grad,Divorced,White,<=50K,Exec-managerial
55,43,Some-college,Married-civ-spouse,White,>50K,Tech-support
56,46,5th-6th,Married-civ-spouse,White,<=50K,Machine-op-inspct
57,35,Assoc-voc,Married-civ-spouse,White,<=50K,Other-service
58,41,HS-grad,Married-civ-spouse,White,<=50K,Adm-clerical
59,30,HS-grad,Married-civ-spouse,White,<=50K,Machine-op-inspct
60,30,Bachelors,Married-civ-spouse,White,<=50K,Sales
61,32,7th-8th,Married-spouse-absent,White,<=50K,?
62,48,HS-grad,Married-civ-spouse,White,<=50K,Transport-moving
63,42,Doctorate,Married-civ-spouse,White,>50K,Prof-specialty
64,29,Some-college,Divorced,White,<=50K,Tech-support
65,36,HS-grad,Married-civ-spouse,White,<=50K,Craft-repair
66,28,Some-college,Divorced,White,<=50K,Adm-clerical
67,53,HS-grad,Married-civ-spouse,White,>50K,Adm-clerical
68,49,Some-college,Married-civ-spouse,White,>50K,Exec-managerial
69,25,Some-college,Never-married,White,<=50K,?
70,19,Some-college,Never-married,White,<=50K,Prof-specialty
71,31,Bachelors,Separated,Black,<=50K,Sales
72,29,Bachelors,Married-civ-spouse,White,>50K,Sales
